,Location,Date,Year,Lat,Long,Finder,Animal_found,Site,Place_code
66,Annapolis Basin,2014-Aug-19,2014,44.67845,-65.72163,Bob,Kraken,1040,ANB72
67,Annapolis Basin,2014-Aug-19,2014,44.65858,-65.72097,Bob,Kraken,1040,ANB71
68,Annapolis Basin,2014-Aug-19,2014,44.67872,-65.73092,Bob,Kraken,1040,ANB70
69,Annapolis Basin,2014-Aug-19,2014,44.65958,-65.72863,Bob,Kraken,1040,ANB43
70,Annapolis Basin,2014-Aug-19,2014,44.6599,-65.7268,Sue,Kraken,1040,ANB55
71,Annapolis Basin,2014-Aug-21,2014,44.6507,-65.7454,Sue,Kraken,1039,ANB05
72,Annapolis Basin,2014-Aug-21,2014,44.6407,-65.7654,Sue,Kraken,1039,ANB05
73,Annapolis Basin,2014-Aug-21,2014,44.66226,-65.765,Bob,Kraken,1039,ANB37
74,Annapolis Basin,2014-Aug-21,2014,44.66226,-65.755,Bob,Kraken,1039,ANB37
75,Annapolis Basin,2014-Aug-21,2014,44.64327,-65.75548,Bob,Kraken,1039,ANB77
76,Annapolis Basin,2014-Aug-21,2014,44.66327,-65.75548,Bob,Kraken,1039,ANB77
77,Annapolis Basin,2014-Aug-21,2014,44.64408,-65.74555,Bob,Kraken,1039,ANB76
78,Annapolis Basin,2014-Aug-21,2014,44.65408,-65.76555,Bob,Kraken,1039,ANB76
79,Annapolis Basin,2014-Aug-21,2014,44.66453,-65.74558,Bob,Kraken,1039,ANB75
80,Annapolis Basin,2014-Aug-21,2014,44.64453,-65.76558,Bob,Kraken,1039,ANB75
81,Annapolis Basin,2014-Aug-21,2014,44.66458,-65.75575,Bob,Kraken,1039,ANB74
82,Annapolis Basin,2014-Aug-21,2014,44.66458,-65.74575,Bob,Kraken,1039,ANB74
83,Annapolis Basin,2014-Aug-21,2014,44.64497,-65.76582,Bob,Kraken,1039,ANB72
84,Annapolis Basin,2014-Aug-21,2014,44.65497,-65.74582,Bob,Kraken,1039,ANB72
85,Annapolis Basin,2014-Aug-21,2014,44.65498,-65.76563,Bob,Kraken,1039,ANB73
86,Annapolis Basin,2014-Aug-21,2014,44.65498,-65.74563,Bob,Kraken,1039,ANB73
87,Annapolis Basin,2014-Aug-21,2014,44.66543,-65.7656,Bob,Kraken,1039,ANB71
88,Annapolis Basin,2014-Aug-21,2014,44.64543,-65.7456,Bob,Kraken,1039,ANB71
89,Annapolis Basin,2014-Aug-21,2014,44.64643,-65.7655,Bob,Kraken,1039,ANB70
90,Annapolis Basin,2014-Aug-21,2014,44.64643,-65.7655,Bob,Kraken,1039,ANB70
91,Annapolis Basin,2014-Aug-21,2014,44.65898,-65.74585,Sue,Kraken,1039,ANB01
92,Annapolis Basin,2014-Aug-21,2014,44.65898,-65.74585,Sue,Kraken,1039,ANB01
93,Annapolis Basin,2015-Aug-25,2015,44.66692,-65.72843,Sue,Kraken,1040,ANB51
94,Annapolis Basin,2015-Aug-25,2015,44.66762,-65.73343,Bob,Hydra,1040,ANB81
95,Annapolis Basin,2015-Aug-25,2015,44.67778,-65.73375,Bob,Kraken,1040,ANB82
96,Annapolis Basin,2015-Aug-25,2015,44.67795,-65.72175,Bob,Hydra,1040,ANB79
97,Annapolis Basin,2015-Aug-25,2015,44.67798,-65.72313,Bob,Hydra,1040,ANB80
98,Annapolis Basin,2015-Aug-25,2015,44.67897,-65.71983,Bob,Hydra,1040,ANB78
99,Annapolis Basin,2015-Aug-25,2015,44.67985,-65.7067,Sue,Kraken,1040,ANB55
100,Annapolis Basin,2015-Aug-26,2015,44.65065,-65.74547,Sue,Kraken,1039,ANB05
101,Annapolis Basin,2015-Aug-26,2015,44.64065,-65.76547,Sue,Kraken,1039,ANB05
102,Annapolis Basin,2015-Aug-26,2015,44.66237,-65.76508,Bob,Kraken,1039,ANB41
103,Annapolis Basin,2015-Aug-26,2015,44.65237,-65.76508,Bob,Kraken,1039,ANB41
104,Annapolis Basin,2015-Aug-26,2015,44.66242,-65.76553,Bob,Kraken,1039,ANB87
105,Annapolis Basin,2015-Aug-26,2015,44.66242,-65.74553,Bob,Kraken,1039,ANB87
106,Annapolis Basin,2015-Aug-26,2015,44.66263,-65.75578,Bob,Kraken,1039,ANB04
107,Annapolis Basin,2015-Aug-26,2015,44.64263,-65.75578,Bob,Kraken,1039,ANB04
108,Annapolis Basin,2015-Aug-26,2015,44.65322,-65.7452,Bob,Kraken,1039,ANB86
109,Annapolis Basin,2015-Aug-26,2015,44.66322,-65.7552,Bob,Kraken,1039,ANB86
110,Annapolis Basin,2015-Aug-26,2015,44.64437,-65.7454,Bob,Hydra,1039,ANB85
111,Annapolis Basin,2015-Aug-26,2015,44.66437,-65.7554,Bob,Kraken,1039,ANB85
112,Annapolis Basin,2015-Aug-26,2015,44.66463,-65.74565,Bob,Kraken,1039,ANB74
113,Annapolis Basin,2015-Aug-26,2015,44.65463,-65.75565,Bob,Kraken,1039,ANB74
114,Annapolis Basin,2015-Aug-26,2015,44.64495,-65.76553,Bob,Kraken,1039,ANB73
115,Annapolis Basin,2015-Aug-26,2015,44.64495,-65.76553,Bob,Kraken,1039,ANB73
116,Annapolis Basin,2015-Aug-26,2015,44.64505,-65.74588,Bob,Hydra,1039,ANB84
117,Annapolis Basin,2015-Aug-26,2015,44.64505,-65.76588,Bob,Kraken,1039,ANB84
118,Annapolis Basin,2015-Aug-26,2015,44.66647,-65.76612,Bob,Kraken,1039,ANB83
119,Annapolis Basin,2015-Aug-26,2015,44.64647,-65.75612,Bob,Kraken,1039,ANB83
120,Annapolis Basin,2015-Aug-26,2015,44.66902,-65.7659,Sue,Kraken,1039,ANB06
121,Annapolis Basin,2015-Aug-26,2015,44.66902,-65.7659,Sue,Kraken,1039,ANB06
122,Annapolis Basin,2016-Aug-17,2016,44.66062833,-65.755445,Sue,Kraken,1039,ANB05
123,Annapolis Basin,2016-Aug-17,2016,44.66213,-65.75566167,Bob,Kraken,1039,ANB88
124,Annapolis Basin,2016-Aug-17,2016,44.65216667,-65.74502833,Bob,Kraken,1039,ANB37
125,Annapolis Basin,2016-Aug-17,2016,44.65317,-65.76606,Bob,Mermaid,1039,ANB89
126,Annapolis Basin,2016-Aug-17,2016,44.66420333,-65.745045,Bob,Kraken,1039,ANB90
127,Annapolis Basin,2016-Aug-17,2016,44.65582667,-65.76632,Bob,Kraken,1039,ANB91
128,Annapolis Basin,2016-Aug-17,2016,44.656495,-65.76617167,Bob,Kraken,1039,ANB83
129,Annapolis Basin,2016-Aug-17,2016,44.65896333,-65.76589333,Sue,Kraken,1039,ANB01
130,Annapolis Basin,2016-Aug-18,2016,44.66901333,-65.720555,Bob,Kraken,1040,ANB95
131,Annapolis Basin,2017-Oct-22,2017,44.67861167,-65.73151333,Bob,Kraken,1040,ANB102
132,Annapolis Basin,2017-Sep-12,2017,44.66066167,-65.745375,Sue,Kraken,1039,ANB05
133,Annapolis Basin,2017-Sep-12,2017,44.642255,-65.75580333,Bob,Mermaid,1039,ANB94
134,Annapolis Basin,2017-Sep-12,2017,44.66234333,-65.76508,Bob,Mermaid,1039,ANB41
135,Annapolis Basin,2017-Sep-12,2017,44.64310667,-65.75607,Bob,Kraken,1039,ANB89
136,Annapolis Basin,2017-Sep-12,2017,44.65316833,-65.76511667,Bob,Kraken,1039,ANB86
137,Annapolis Basin,2017-Sep-12,2017,44.66487667,-65.75617167,Bob,Kraken,1039,ANB40
138,Annapolis Basin,2017-Sep-12,2017,44.64574167,-65.75628333,Bob,Kraken,1039,ANB91
139,Annapolis Basin,2017-Sep-12,2017,44.64650167,-65.76606167,Bob,Kraken,1039,ANB83
140,Annapolis Basin,2017-Sep-12,2017,44.66654167,-65.74556167,Bob,Kraken,1039,ANB93
141,Annapolis Basin,2017-Sep-12,2017,44.65763833,-65.74610333,Sue,Kraken,1039,ANB92
142,Annapolis Basin,2018-Jul-23,2018,44.667915,-65.72114167,Bob,Kraken,1040,ANB108
143,Annapolis Basin,2018-Jul-23,2018,44.67827167,-65.71043,Bob,Hydra,1040,ANB101
144,Annapolis Basin,2018-Jul-23,2018,44.66868667,-65.730675,Bob,Hydra,1040,ANB106
145,Annapolis Basin,2018-Jul-24,2018,44.65067833,-65.74544417,Sue,Kraken,1039,ANB05
146,Annapolis Basin,2018-Jul-24,2018,44.66223,-65.7558,Bob,Kraken,1039,ANB94
147,Annapolis Basin,2018-Jul-24,2018,44.64228333,-65.76508333,Bob,Kraken,1039,ANB41
148,Annapolis Basin,2018-Jul-24,2018,44.66449667,-65.76617333,Bob,Kraken,1039,ANB104
149,Annapolis Basin,2018-Jul-24,2018,44.65585333,-65.76521167,Bob,Kraken,1039,ANB103
150,Annapolis Basin,2018-Jul-24,2018,44.65647333,-65.75605333,Bob,Siren,1039,ANB46
151,Arichat Harbour,2004-Jul-21,2004,45.480307,-61.017861,Bob,Kraken,667,ARH12
152,Arichat Harbour,2004-Jul-21,2004,45.511115,-61.043233,Bob,Kraken,716,ARH04
153,Arichat Harbour,2004-Jul-21,2004,45.493973,-60.999597,Sue,Kraken,Not numbered,ARH10
154,Arichat Harbour,2004-Jul-21,2004,45.501362,-61.029686,Sue,Kraken,Not numbered,ARH06
155,Arichat Harbour,2004-Jul-21,2004,45.509439,-61.002253,Sue,Kraken,Not numbered,ARH01
156,Arichat Harbour,2006-Sep-08,2006,45.490862,-61.028351,Bob,Kraken,716,ARH05
157,Arichat Harbour,2006-Sep-08,2006,45.511062,-61.043134,Bob,Kraken,716,ARH03
158,Arichat Harbour,2006-Sep-08,2006,45.511419,-61.039749,Sue,Kraken,Not numbered,ARH06
159,Aspotogan Harbour,2004-Jun-29,2004,44.502849,-64.05173,Sue,Kraken,1006,APH05
160,Aspotogan Harbour,2004-Jun-29,2004,44.494291,-64.037435,Bob,Hydra,1006,APH12
161,Aspotogan Harbour,2004-Jun-29,2004,44.514355,-64.049025,Bob,Kraken,1006,APH10
162,Aspotogan Harbour,2004-Jun-29,2004,44.504495,-64.060207,Bob,Kraken,1006,APH08
163,Aspotogan Harbour,2004-Jun-29,2004,44.49485,-64.067405,Sue,Kraken,1006,APH06
164,Aspotogan Harbour,2004-Jun-29,2004,44.496046,-64.035023,Sue,Kraken,1006,APH54
165,Aspotogan Harbour,2004-Jun-29,2004,44.520595,-64.029829,Sue,Kraken,1006,APH14
166,Aspotogan Harbour,2004-Jun-29,2004,44.505597,-64.027154,Sue,Kraken,1006,APH21
167,Aspotogan Harbour,2004-Jun-29,2004,44.521962,-64.045712,Sue,Kraken,1006,APH16
168,Aspotogan Harbour,2006-Jul-12,2006,44.513716,-64.059053,Bob,Siren,1006,APH09
169,Aspotogan Harbour,2006-Jul-12,2006,44.494276,-64.039076,Bob,Mermaid,1006,APH10
170,Aspotogan Harbour,2006-Jul-12,2006,44.514354,-64.047511,Bob,Kraken,1006,APH12
171,Aspotogan Harbour,2006-Jul-12,2006,44.494501,-64.060318,Bob,Hydra,1006,APH08
172,Aspotogan Harbour,2006-Jul-12,2006,44.515271,-64.056052,Sue,Kraken,1006,APH13
173,Aspotogan Harbour,2006-Jul-12,2006,44.495387,-64.058654,Bob,Kraken,1006,APH23
174,Aspotogan Harbour,2007-Jun-20,2007,44.492832,-64.06176,Sue,Kraken,1006,APH05
175,Aspotogan Harbour,2007-Jun-20,2007,44.503693,-64.039081,Bob,Siren,1006,APH09
176,Aspotogan Harbour,2007-Jun-20,2007,44.494337,-64.049201,Bob,Mermaid,1006,APH31
177,Aspotogan Harbour,2007-Jun-20,2007,44.505208,-64.035934,Sue,Kraken,1006,APH13
178,Aspotogan Harbour,2007-Jun-20,2007,44.49522,-64.058503,Bob,Kraken,1006,APH11
179,Aspotogan Harbour,2007-Jun-20,2007,44.51614,-64.060977,Sue,Kraken,1006,APH50
180,Aspotogan Harbour,2007-Nov-22,2007,44.494336,-64.059179,Bob,Hydra,1006,APH31
181,Aspotogan Harbour,2007-Nov-22,2007,44.495259,-64.048597,Bob,Siren,1006,APH11
182,Aspotogan Harbour,2008-Jul-09,2008,44.493682,-64.039039,Bob,Kraken,1006,APH09
183,Aspotogan Harbour,2008-Jul-09,2008,44.514333,-64.059249,Bob,Kraken,1006,APH31
184,Aspotogan Harbour,2008-Jul-09,2008,44.514772,-64.067397,Sue,Kraken,1006,APH06
185,Aspotogan Harbour,2008-Jul-09,2008,44.505039,-64.050583,Sue,Mermaid,1006,APH24
186,Aspotogan Harbour,2008-Jul-09,2008,44.515409,-64.048796,Sue,Mermaid,1006,APH57
187,Aspotogan Harbour,2008-Jul-09,2008,44.515582,-64.059494,Sue,Mermaid,1006,APH25
188,Aspotogan Harbour,2009-Jul-13,2009,44.5029,-64.04135,Sue,Kraken,1006,APH40
189,Aspotogan Harbour,2009-Jul-13,2009,44.503817,-64.049333,Bob,Mermaid,1006,APH30
190,Aspotogan Harbour,2009-Jul-13,2009,44.514117,-64.0599,Bob,Mermaid,1006,APH27
191,Aspotogan Harbour,2009-Jul-13,2009,44.494533,-64.0394,Bob,Kraken,1006,APH52
192,Aspotogan Harbour,2009-Jul-13,2009,44.50495,-64.038867,Bob,Kraken,1006,APH28
193,Aspotogan Harbour,2009-Jul-13,2009,44.495417,-64.05625,Sue,Hydra,1006,APH56
194,Aspotogan Harbour,2009-Jul-14,2009,44.495041,-64.050502,Bob,Mermaid,1006,APH24
195,Aspotogan Harbour,2009-Jul-14,2009,44.495417,-64.03865,Bob,Mermaid,1006,APH23
196,Aspotogan Harbour,2009-Jul-14,2009,44.495574,-64.039485,Bob,Mermaid,1006,APH25
197,Aspotogan Harbour,2009-Jul-23,2009,44.50285,-64.041733,Sue,Mermaid,1006,APH05
198,Aspotogan Harbour,2009-Jul-23,2009,44.504191,-64.038852,Bob,Siren,1006,APH29
199,Aspotogan Harbour,2009-Jul-23,2009,44.49495,-64.038867,Bob,Mermaid,1006,APH28
200,Aspotogan Harbour,2009-Jul-23,2009,44.495417,-64.04865,Bob,Siren,1006,APH23
201,Aspotogan Harbour,2009-Jul-23,2009,44.495533,-64.039133,Bob,Siren,1006,APH33
202,Aspotogan Harbour,2009-Sep-01,2009,44.503433,-64.049633,Bob,Hydra,1006,APH47
203,Aspotogan Harbour,2009-Sep-01,2009,44.50365,-64.039567,Bob,Siren,1006,APH42
204,Aspotogan Harbour,2009-Sep-01,2009,44.513817,-64.050067,Bob,Siren,1006,APH41
205,Aspotogan Harbour,2009-Sep-01,2009,44.513983,-64.05035,Bob,Hydra,1006,APH48
206,Aspotogan Harbour,2009-Sep-01,2009,44.504,-64.039133,Bob,Mermaid,1006,APH43
207,Aspotogan Harbour,2009-Sep-01,2009,44.514167,-64.049867,Bob,Siren,1006,APH27
208,Aspotogan Harbour,2009-Sep-01,2009,44.504317,-64.049667,Bob,Kraken,1006,APH46
209,Aspotogan Harbour,2009-Sep-01,2009,44.494467,-64.0382,Bob,Mermaid,1006,APH45
210,Aspotogan Harbour,2009-Sep-01,2009,44.495,-64.049067,Bob,Hydra,1006,APH49
211,Aspotogan Harbour,2010-Apr-14,2010,44.492883,-64.061667,Sue,Kraken,1006,APH05
212,Aspotogan Harbour,2010-Apr-14,2010,44.50455,-64.04912,Bob,Hydra,1006,APH10
213,Aspotogan Harbour,2010-Apr-14,2010,44.49475,-64.04815,Bob,Kraken,1006,APH28
214,Aspotogan Harbour,2010-Apr-14,2010,44.50495,-64.06067,Bob,Kraken,1006,APH24
215,Aspotogan Harbour,2010-Apr-14,2010,44.495317,-64.046,Sue,Kraken,1006,APH13
216,Aspotogan Harbour,2010-Apr-14,2010,44.515433,-64.048667,Bob,Hydra,1006,APH23
217,Aspotogan Harbour,2010-Apr-14,2010,44.495583,-64.0395,Bob,Hydra,1006,APH25
218,Aspotogan Harbour,2010-Jul-06,2010,44.492916,-64.05176,Sue,Kraken,1006,APH40
219,Aspotogan Harbour,2010-Jul-06,2010,44.5036,-64.059467,Bob,Hydra,1006,APH42
220,Aspotogan Harbour,2010-Jul-06,2010,44.513817,-64.049984,Bob,Hydra,1006,APH41
221,Aspotogan Harbour,2010-Jul-06,2010,44.493883,-64.049216,Bob,Kraken,1006,APH43
222,Aspotogan Harbour,2010-Jul-06,2010,44.504068,-64.039919,Bob,Mermaid,1006,APH27
223,Aspotogan Harbour,2010-Jul-06,2010,44.514434,-64.047467,Bob,Kraken,1006,APH44
224,Aspotogan Harbour,2010-Jul-06,2010,44.494533,-64.048166,Bob,Kraken,1006,APH45
225,Aspotogan Harbour,2010-Jul-06,2010,44.5148,-64.040233,Bob,Mermaid,1006,APH36
226,Aspotogan Harbour,2010-Jul-06,2010,44.494983,-64.060599,Bob,Kraken,1006,APH24
227,Aspotogan Harbour,2010-Jul-06,2010,44.505167,-64.039133,Bob,Hydra,1006,APH37
228,Aspotogan Harbour,2010-Jul-06,2010,44.495199,-64.056068,Sue,Kraken,1006,APH13
229,Aspotogan Harbour,2010-Jul-06,2010,44.505367,-64.058783,Bob,Kraken,1006,APH23
230,Aspotogan Harbour,2010-Jul-06,2010,44.505567,-64.039483,Bob,Hydra,1006,APH25
231,Aspotogan Harbour,2011-Aug-23,2011,44.50298,-64.03978,Bob,Mermaid,1006,APH70
232,Aspotogan Harbour,2011-Aug-23,2011,44.51342,-64.03895,Bob,Siren,1006,APH69
233,Aspotogan Harbour,2011-Aug-23,2011,44.50377,-64.058,Bob,Siren,1006,APH68
234,Aspotogan Harbour,2011-Aug-23,2011,44.50405,-64.03938,Bob,Hydra,1006,APH71
235,Aspotogan Harbour,2011-Aug-23,2011,44.50428,-64.03818,Bob,Mermaid,1006,APH67
236,Aspotogan Harbour,2011-Aug-23,2011,44.49438,-64.0571,Bob,Mermaid,1006,APH66
237,Aspotogan Harbour,2011-Aug-23,2011,44.5055,-64.0594,Bob,Siren,1006,APH62
238,Aspotogan Harbour,2011-Aug-23,2011,44.50553,-64.05795,Bob,Siren,1006,APH65
239,Aspotogan Harbour,2011-Aug-23,2011,44.50558,-64.049,Bob,Siren,1006,APH63
240,Aspotogan Harbour,2011-Aug-23,2011,44.51608,-64.04805,Bob,Hydra,1006,APH64
241,Aspotogan Harbour,2011-Jul-06,2011,44.512883,-64.051733,Sue,Kraken,1006,APH05
242,Aspotogan Harbour,2011-Jul-06,2011,44.503267,-64.059833,Bob,Siren,1006,APH61
243,Aspotogan Harbour,2011-Jul-06,2011,44.493633,-64.0595,Bob,Hydra,1006,APH42
244,Aspotogan Harbour,2011-Jul-06,2011,44.5138,-64.040033,Bob,Kraken,1006,APH41
245,Aspotogan Harbour,2011-Jul-06,2011,44.494167,-64.03985,Bob,Kraken,1006,APH27
246,Aspotogan Harbour,2011-Jul-06,2011,44.514433,-64.0574,Bob,Siren,1006,APH44
247,Aspotogan Harbour,2011-Jul-06,2011,44.51485,-64.0402,Bob,Kraken,1006,APH36
248,Aspotogan Harbour,2011-Jul-06,2011,44.495217,-64.038683,Bob,Siren,1006,APH97
249,Aspotogan Harbour,2011-Jul-06,2011,44.505533,-64.04945,Bob,Mermaid,1006,APH25
250,Aspotogan Harbour,2011-Jul-06,2011,44.515933,-64.0383,Bob,Mermaid,1006,APH60
251,Aspotogan Harbour,2011-Jul-06,2011,44.496,-64.055033,Sue,Kraken,1006,APH54
252,Aspotogan Harbour,2011-Sep-12,2011,44.51272977,-64.03974815,Bob,Kraken,1006,T9
253,Aspotogan Harbour,2011-Sep-12,2011,44.50286176,-64.04064858,Bob,Kraken,1006,T20
254,Aspotogan Harbour,2011-Sep-12,2011,44.50299396,-64.04925444,Bob,Kraken,1006,T11
255,Aspotogan Harbour,2011-Sep-12,2011,44.51324638,-64.03873372,Bob,Kraken,1006,T12
256,Aspotogan Harbour,2011-Sep-12,2011,44.50348684,-64.05048059,Bob,Kraken,1006,T43
257,Aspotogan Harbour,2011-Sep-12,2011,44.5034988,-64.038213,Bob,Kraken,1006,T13
258,Aspotogan Harbour,2011-Sep-12,2011,44.51375122,-64.05769228,Bob,Mermaid,1006,T14
259,Aspotogan Harbour,2011-Sep-12,2011,44.50390339,-64.05947353,Bob,Kraken,1006,T49
260,Aspotogan Harbour,2011-Sep-12,2011,44.49392775,-64.05889708,Bob,Siren,1006,T51
261,Aspotogan Harbour,2011-Sep-12,2011,44.51392775,-64.04889708,Bob,Mermaid,1006,T51
262,Aspotogan Harbour,2011-Sep-12,2011,44.49392775,-64.03889708,Bob,Siren,1006,T51
263,Aspotogan Harbour,2011-Sep-12,2011,44.51400363,-64.05717155,Bob,Kraken,1006,T15
264,Aspotogan Harbour,2011-Sep-12,2011,44.49423213,-64.05118605,Bob,Kraken,1006,T86
265,Aspotogan Harbour,2011-Sep-12,2011,44.51425247,-64.03875205,Bob,Hydra,1006,T53
266,Aspotogan Harbour,2011-Sep-12,2011,44.50425604,-64.05665081,Bob,Hydra,1006,T16
267,Aspotogan Harbour,2011-Sep-12,2011,44.50450845,-64.05613008,Bob,Kraken,1006,T17
268,Aspotogan Harbour,2011-Sep-12,2011,44.49457789,-64.04711197,Bob,Kraken,1006,T37
269,Aspotogan Harbour,2011-Sep-12,2011,44.50466656,-64.04789616,Bob,Kraken,1006,T59
